,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
0,1.1702623347551202,1.3695139321465049,4.350814314331259,0.8035366110147037,0.9332638266681532,MLP,24,10,0,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
1,1.8905554092976602,3.574199755624644,7.118012877902203,1.2288502391579472,0.4487699077128796,MLP,24,10,1,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
2,1.0022817299888154,1.0045686662693727,3.2774289374304573,0.7514770709807441,0.8725596566711175,MLP,24,10,2,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
3,0.7990050107266119,0.6384090071662332,2.302997877476855,0.6372821895666338,0.9549438395865366,MLP,24,10,3,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
4,1.641990224544624,2.6961318975001047,3.650025827834668,1.3579565595984733,0.9463504366550628,MLP,24,10,4,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
5,1.1878919065995166,1.4110871817646344,4.31470910740417,0.8333695604695943,0.9036951801664144,MLP,24,10,5,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
6,1.3229713642729706,1.750253230686285,4.988407713555745,0.903036352135586,0.9068953976135249,MLP,24,10,6,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
7,0.9473446890912804,0.8974619599494548,2.7578638823088966,0.7628729351235678,0.9542374613159457,MLP,24,10,7,"MM(-1,1)",,"{'mlpregressor__activation': 'relu', 'mlpregressor__batch_size': 30, 'mlpregressor__early_stopping': True, 'mlpregressor__hidden_layer_sizes': 5, 'mlpregressor__learning_rate_init': 0.2, 'mlpregressor__max_iter': 500, 'mlpregressor__n_iter_no_change': 5, 'mlpregressor__random_state': 0, 'mlpregressor__solver': 'adam', 'mlpregressor__validation_fraction': 0.2}"
0,1.198660539958109,1.4367870900526651,4.864383826971199,0.7792214401288379,0.9299856175012194,SVR,24,10,0,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
1,1.8885743175426892,3.5667129528818347,7.376967395836019,1.2350355730629246,0.44992455805394116,SVR,24,10,1,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
2,1.0513044386671326,1.105241022761215,3.192982347726044,0.7876626032812964,0.8597882851304409,SVR,24,10,2,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
3,0.7583451782481607,0.5750874093722347,2.8746341431151023,0.5915036867395734,0.9594128054623584,SVR,24,10,3,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
4,1.5663819447152008,2.4535523967297745,3.887085909100776,1.2612801193960617,0.951177457285926,SVR,24,10,4,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
5,1.1618616291604118,1.3499224453152863,4.147686510992543,0.8124811944669802,0.9078695919249826,SVR,24,10,5,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
6,1.2448468601738574,1.5496437052847112,4.136304589853395,0.8836649714302878,0.9175668077672027,SVR,24,10,6,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
7,0.7798502378132895,0.6081663934174443,2.8817669341522816,0.5562917462939755,0.9689889495631937,SVR,24,10,7,"MM(-1,1)",,"{'svr__C': 4000, 'svr__epsilon': 0.001, 'svr__kernel': 'linear'}"
0,1.1656460382166645,1.3587306864102053,4.645472216745034,0.7707075727467859,0.9337892923385971,LR,24,10,0,"MM(-1,1)",,{'linearregression__n_jobs': -1}
