,RMSE,MSE,MaxE,MAE,R2,Modelo,MOD_FALH,Janela,AENV,Normalização,N_Parâmetros,Parâmetros
0,0.9609655911027063,0.9234548672833738,2.543911394253456,0.7894751890355973,0.9034368648477079,RNN,1,20,1011,"MM(-1,1)",1765,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
1,1.6844932592342605,2.8375175404056616,3.717227430561806,1.4489637122624521,0.7032885964884833,RNN,1,20,1011,"MM(-1,1)",1765,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
2,1.7823237936375482,3.1766781053665416,4.222651020905801,1.2788741516679272,0.6678235092027445,RNN,1,20,1011,"MM(-1,1)",1765,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
3,1.4207025112224407,2.0183956253937496,3.6031630032651094,1.169793976315168,0.7889419218298588,RNN,1,20,1011,"MM(-1,1)",1765,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
4,1.286577280335097,1.6552810982744548,2.875404411946974,1.112484612632358,0.8269118090438718,RNN,1,20,1011,"MM(-1,1)",2647,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
5,1.5237707833190006,2.3218774000966005,3.6412582937829114,1.266932169376894,0.7572076674930995,RNN,1,20,1011,"MM(-1,1)",2647,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': False}"
6,1.3184966103065376,1.73843331138983,3.3795700613610364,1.044271946825309,0.8182168108606978,RNN,1,20,1011,"MM(-1,1)",2647,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
7,2.203096705651615,4.853635094452999,4.688636833821974,1.8698013364227088,0.4924687299723207,RNN,1,20,1011,"MM(-1,1)",2647,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
8,1.2487452504382845,1.5593647004921738,2.846309156636025,1.1011812983642744,0.8369415229048409,RNN,1,20,1011,"MM(-1,1)",3354,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': True}"
9,1.1977609523145287,1.4346312988894068,2.354650735198703,1.0924322007771248,0.8499845515830113,RNN,1,20,1011,"MM(-1,1)",3354,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': False}"
10,1.5805243060724856,2.4980570820859125,4.217866506145782,1.282095995967175,0.7387850427977865,RNN,1,20,1011,"MM(-1,1)",3354,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
11,1.62758900783469,2.6490459784243106,4.059751410377061,1.3325142312138092,0.7229965492609972,RNN,1,20,1011,"MM(-1,1)",3354,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
12,1.1634635356229803,1.3536473987243258,2.638069206868849,1.0108390588505567,0.858452815245756,RNN,1,20,1011,"MM(-1,1)",4621,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': True}"
13,1.2939300106937934,1.6742548725740405,2.506388203522988,1.1689128664908046,0.8249277736600638,RNN,1,20,1011,"MM(-1,1)",4621,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': False}"
14,1.2810507282102086,1.641090968247906,3.1361313406579114,1.0879287677052656,0.828395631905311,RNN,1,20,1011,"MM(-1,1)",4621,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
15,1.0624567339334516,1.1288143114805371,2.6148934525464256,0.8761307292700232,0.8819629926885338,RNN,1,20,1011,"MM(-1,1)",4621,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
16,1.8470947448985224,3.4117589966317374,3.1625300620629275,1.5710634247160955,0.6432417470839938,GRU,1,20,1011,"MM(-1,1)",5412,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
17,1.9601335039832735,3.8421233534377452,3.3012248252465213,1.7037788303706902,0.5982397301762901,GRU,1,20,1011,"MM(-1,1)",5412,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
18,1.6119876256309584,2.598504105187335,4.06410222688838,1.3565353945396865,0.7282815739104308,GRU,1,20,1011,"MM(-1,1)",5412,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
19,1.5950540438136882,2.5441974026863994,3.742495985249306,1.3598718616952243,0.7339602763993787,GRU,1,20,1011,"MM(-1,1)",5412,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
20,1.4170309052718482,2.0079765864955537,2.799842888509474,1.2823844335901189,0.7900314120658497,GRU,1,20,1011,"MM(-1,1)",6294,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
21,1.5383945490482636,2.3666577885414104,2.727822793169338,1.3726617268817312,0.7525251054591919,GRU,1,20,1011,"MM(-1,1)",6294,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': False}"
22,1.5455727226670846,2.388795041052545,3.588295036946974,1.3339706604879682,0.7502102738611718,GRU,1,20,1011,"MM(-1,1)",6294,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
23,1.5160276013027352,2.298339687911725,3.1499329153649427,1.3346145995256582,0.7596689413066973,GRU,1,20,1011,"MM(-1,1)",6294,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
24,1.6813201288651471,2.826837375727115,2.9795241481498067,1.4825380577256193,0.7044053919289981,GRU,1,20,1011,"MM(-1,1)",10228,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': True}"
25,1.6311120592092174,2.6605265496977335,2.829202187700588,1.4444758680656242,0.7217960575046839,GRU,1,20,1011,"MM(-1,1)",10228,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': False}"
26,1.5841023987342389,2.5093804096755696,3.393356377279005,1.3889610880939212,0.737600993580925,GRU,1,20,1011,"MM(-1,1)",10228,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
27,1.6023798709118986,2.567621250703633,3.6120833570693947,1.389835531088193,0.7315109090485639,GRU,1,20,1011,"MM(-1,1)",10228,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
28,1.448676382410814,2.0986632609548828,2.8491745535485364,1.294873783338722,0.7805485559863864,GRU,1,20,1011,"MM(-1,1)",11495,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': True}"
29,1.5026062977624137,2.2578256860752672,2.6598086073196185,1.3284789461529927,0.7639053790293148,GRU,1,20,1011,"MM(-1,1)",11495,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': False}"
30,1.4315575405201835,2.049356991820197,2.830062920247755,1.2869685264861563,0.7857043769138502,GRU,1,20,1011,"MM(-1,1)",11495,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
31,1.640659919051121,2.6917649699808313,4.16433283827665,1.32865044336999,0.7185295418290291,GRU,1,20,1011,"MM(-1,1)",11495,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
32,10.199623089974954,104.03231117755023,16.404628807698927,9.73942480418853,-9.878372598755755,LSTM,1,20,1011,"MM(-1,1)",7015,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': True}"
33,10.347902232701042,107.07908061753922,16.57133107820674,9.890433479926608,-10.196964897778473,LSTM,1,20,1011,"MM(-1,1)",7015,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0, 'L2': False}"
34,10.32094092415258,106.52182155984754,16.586444908773146,9.856445504224556,-10.138693851072075,LSTM,1,20,1011,"MM(-1,1)",7015,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
35,10.156993528835288,103.16451754480192,16.25406270662471,9.710853593932093,-9.787629805781057,LSTM,1,20,1011,"MM(-1,1)",7015,"{'Recurrent': [14, 21, 14], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
36,11.829170457296238,139.92927370777008,18.073185021077833,11.435603601003239,-13.632019222071127,LSTM,1,20,1011,"MM(-1,1)",7897,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': True}"
37,10.933440269236495,119.54011612096221,16.970443779622755,10.540082623145603,-11.499981101477038,LSTM,1,20,1011,"MM(-1,1)",7897,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0, 'L2': False}"
38,11.799610790953762,139.23081481799247,18.05070119539424,11.404544173044076,-13.558983297348215,LSTM,1,20,1011,"MM(-1,1)",7897,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': True}"
39,11.47590952496019,131.69649942507203,17.658893639241896,11.080523112751763,-12.771140662757048,LSTM,1,20,1011,"MM(-1,1)",7897,"{'Recurrent': [14, 21, 14], 'Dense': 56, 'Dropout': 0.5, 'L2': False}"
40,10.192924205434345,103.89570385772936,16.396511131917677,9.734952455440347,-9.864087947113317,LSTM,1,20,1011,"MM(-1,1)",13350,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': True}"
41,10.192805333780179,103.89328057233766,16.232955986654005,9.759389522425685,-9.863834550826091,LSTM,1,20,1011,"MM(-1,1)",13350,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0, 'L2': False}"
42,10.030296510720266,100.60684809296716,16.105037743245802,9.585778032687779,-9.520181347061067,LSTM,1,20,1011,"MM(-1,1)",13350,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': True}"
43,10.257509204507725,105.21649508056069,16.47035985628291,9.801168319482302,-10.002199451938043,LSTM,1,20,1011,"MM(-1,1)",13350,"{'Recurrent': [21, 28, 21], 'Dense': 0, 'Dropout': 0.5, 'L2': False}"
44,11.687623801425882,136.60055012365677,17.908920342122755,11.29357571119328,-13.283943753821179,LSTM,1,20,1011,"MM(-1,1)",14617,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': True}"
45,11.088793186058686,122.96133432318152,17.076026970540724,10.705982737251572,-11.857728477500135,LSTM,1,20,1011,"MM(-1,1)",14617,"{'Recurrent': [21, 28, 21], 'Dense': 56, 'Dropout': 0, 'L2': False}"
